,LMentry Score,Accuracy,Robustness
EuroLLM-1.7B-Instruct,4.9,5.1,96.4
Llama-3.1-8B-Instruct,17.1,19.7,87.2
Llama-3.2-3B-Instruct,35.1,45.4,77.4
Qwen2.5-1.5B-Instruct,23.2,27.5,84.4
Qwen2.5-3B-Instruct,34.2,45.2,75.6
SmolLM2-1.7B-Instruct,11.4,13.8,82.5
SmolLM2-360M-Instruct,6.9,7.3,94.8
ZharfaOpen-0309,21.9,26.7,81.9
gemma-3-1b,35.2,45.9,76.7
gemma-3-4b,53.6,65.5,81.8
salamandra-2b-instruct,2.7,2.8,96.3
