task,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
ends_with_word,1.4,2.8,1.1,6.9,28.7,5.8,1.9,2.9,3.7,7.0,1.7,5.3,21.0,15.7,19.4,5.5,1.3,5.5,10.9,0.2,20.4,1.2,1.7,0.8,2.1,14.1,3.5,18.3,17.8,31.4,0.4,0.4,0.2
starts_with_letter,0.0,3.0,3.0,36.4,48.5,33.3,97.0,93.9,97.0,87.9,66.7,84.8,81.8,97.0,87.9,0.0,6.1,3.0,0.0,3.0,0.0,57.6,57.6,60.6,81.8,87.9,78.8,93.9,93.9,93.9,6.1,0.0,3.0
ends_with_letter,0.0,0.0,0.0,0.0,0.0,0.0,12.1,18.2,6.1,0.0,0.0,6.1,12.1,24.2,21.2,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,6.1,57.6,6.1,15.2,57.6,21.2,0.0,0.0,0.0
first_word,0.0,0.1,0.0,8.1,7.0,31.5,57.7,82.9,70.8,1.2,5.4,52.9,70.7,77.8,29.3,0.0,0.9,0.0,0.0,0.0,0.0,3.6,22.0,49.4,32.0,51.2,27.6,85.4,82.9,84.4,0.0,0.0,0.0
last_word,0.1,0.4,0.0,9.5,4.4,12.1,16.1,26.4,18.9,0.0,0.1,2.3,29.4,22.0,16.7,0.0,0.9,0.2,0.3,0.0,0.0,8.2,2.9,16.2,4.7,21.3,5.6,31.9,37.8,37.3,0.0,0.0,0.0
first_letter,0.0,0.0,0.0,0.1,0.0,26.6,44.9,46.3,88.3,0.0,0.2,52.6,88.5,36.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.5,73.5,37.9,46.3,43.9,86.5,82.0,86.4,0.0,0.0,0.0
last_letter,0.0,0.0,0.0,0.8,0.4,22.3,55.8,26.1,59.9,0.0,0.0,1.3,0.3,0.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.1,35.8,28.0,13.6,29.6,72.1,53.5,82.0,0.0,0.0,0.0
first_alphabetically_far_first_letter,0.0,0.0,0.0,0.1,14.3,0.0,17.0,24.5,38.2,3.8,51.1,14.5,46.3,52.1,49.7,0.1,24.1,2.3,0.0,0.0,0.0,39.5,35.4,16.3,46.3,49.3,48.7,47.5,48.4,0.3,0.0,6.2,0.0
first_alphabetically_different_first_letter,0.0,0.3,0.0,0.3,13.9,0.0,18.1,30.1,39.0,3.4,47.5,16.1,46.1,48.8,48.2,0.1,28.8,2.4,0.0,0.3,0.0,47.6,37.0,15.8,44.7,51.6,49.4,52.3,52.6,0.3,0.0,9.3,0.0
first_alphabetically_consecutive_first_letter,0.0,0.0,0.0,0.6,15.5,0.0,16.5,25.3,41.6,3.1,46.9,14.2,47.0,48.1,48.5,0.3,26.0,0.2,0.0,0.0,0.0,37.3,34.1,14.5,47.2,49.8,48.6,52.1,50.6,0.6,0.0,6.5,0.0
