task,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
starts_with_word,94.2,90.7,92.9,79.5,79.5,78.8,98.1,97.9,96.5,98.6,98.9,98.2,49.6,45.9,49.6,70.9,86.3,79.0,39.2,33.9,57.0,44.8,51.3,47.6,16.9,11.0,18.8,13.5,11.7,20.2,56.1,56.3,46.9,57.5,58.1,74.2
ends_with_word,37.2,32.0,29.3,2.2,8.2,1.2,42.9,43.4,37.5,77.1,81.1,75.1,89.7,94.7,88.9,87.2,89.3,78.1,6.9,8.0,7.9,37.8,34.1,32.7,8.8,10.6,12.1,7.5,20.5,7.7,5.1,8.5,2.7,3.7,7.3,3.8
starts_with_letter,100.0,100.0,100.0,80.8,38.5,84.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3,100.0,100.0,100.0,100.0,100.0,92.3,100.0,100.0,92.3,100.0,92.3,84.6,76.9,88.5,88.5,88.5,92.3,57.7,100.0,19.2,11.5,7.7
ends_with_letter,65.2,65.2,69.6,4.3,0.0,0.0,34.8,56.5,8.7,95.7,91.3,91.3,100.0,100.0,91.3,91.3,91.3,91.3,8.7,17.4,26.1,39.1,47.8,65.2,4.3,8.7,4.3,13.0,17.4,39.1,0.0,0.0,0.0,4.3,4.3,0.0
first_word,97.2,99.1,83.8,85.0,96.0,69.2,91.2,83.7,69.0,100.0,100.0,100.0,81.4,99.2,64.5,79.5,92.8,74.1,97.7,89.6,67.1,23.1,60.4,35.4,7.1,2.3,8.1,32.1,32.1,23.2,3.4,29.1,0.5,98.3,99.7,80.2
last_word,90.6,89.6,89.3,53.0,52.4,45.9,55.4,63.3,26.6,93.0,90.7,91.9,56.0,98.8,55.2,80.7,89.8,82.5,80.8,81.9,20.8,24.6,39.7,25.5,5.9,8.2,6.8,25.1,27.6,15.1,9.6,12.3,7.7,72.7,84.9,18.8
first_letter,99.5,99.1,99.7,99.2,99.5,93.0,97.4,89.4,97.5,100.0,100.0,100.0,93.9,64.7,64.6,100.0,99.0,98.2,52.2,51.4,52.3,57.6,57.7,57.7,45.8,45.2,29.4,47.5,23.1,47.5,46.0,42.3,18.5,100.0,93.8,99.7
last_letter,73.6,71.7,71.5,58.1,37.3,55.9,41.0,29.5,41.5,95.5,89.3,96.2,99.0,97.5,98.8,94.9,98.7,97.3,37.1,31.1,14.5,46.2,43.2,40.8,18.8,9.6,15.0,34.4,28.3,16.7,10.8,9.3,4.9,75.2,62.5,42.0
first_alphabetically_far_first_letter,67.8,57.2,67.4,49.3,47.7,50.8,50.5,40.0,43.6,74.0,80.0,56.3,100.0,100.0,95.1,43.3,56.4,44.6,42.3,45.7,34.6,74.6,58.5,41.0,2.5,17.4,4.0,48.6,42.1,26.6,18.0,20.3,19.0,76.0,72.8,67.5
first_alphabetically_different_first_letter,61.4,55.5,62.8,49.6,49.6,50.1,44.6,37.0,44.3,66.1,69.4,53.3,99.5,99.7,93.7,45.7,57.6,43.0,39.7,43.6,30.7,67.5,54.9,39.4,3.1,16.6,3.4,48.1,46.0,30.6,21.1,22.1,23.1,72.1,69.1,64.6
